Location,Supply Source,Item #,Name,Qty. On Hand,Par Level,Min Level,Reorder Qty,Custom #, Bin #, Price, GL #, Pack Count, Custom 1, Custom 2, Custom 3, Ext. Price
Sumner Machinery part,Unifiller,17258-00,Idler 3.5x402sl,1,0,0,0,PART,0,200,,1,Multi Station conveyor,,,200
Sumner Machinery part,Unifiller,1254,90 Degree Conveyor belt,1,0,0,0,PART,Rack 2 top,1050,,1,Converyor,,,1050
Sumner Machinery part,Trane Supply,20x25x2,20x25x2 AC Unit Filter,4,0,0,0,PART,0,4.56,,1,AC Uint,,,18.24
Sumner Machinery part,Trane Supply,16x20x2,16x20x2 AC Unit Filter,8,0,0,0,PART,0,3.44,,1,AC Uint,,,27.52
Sumner Machinery part,Apex Motion,A68186-00,Pneumatic Cylinder Double Acting,1,0,0,0,PART,0,496.3,,1,Robot Palletizer arm,,,496.3
Sumner Machinery part,Amazon,B010mCZ7GD1,Hose Reel W/Double Arm,3,0,0,0,PART,,150,,1,Hose Reel,,,450
Sumner Vault,DAWN FOODS INC,P104,WhiteRoundCakePads_Dawn_100PC/CS Item#2326107,0,0,0,0,PACKAGING,,23.55,,1,,,,0
Sumner Vault,CREDIT CARD WILL CALLS,I105,WhiteCakePads_Webstaurant_500/cs Item#2456CCC,3,0,0,0,PACKAGING,,30.57,,1,,,,91.71
GLBC Warehouse,Amazon,I098,CakeZymeMajestic_44lbs_Item#23744,0,0,0,0,INGREDIENT,,2848.8,,1,,,,0
GLBC Warehouse,Amazon,I099,BakeZymeMAM_33lbs_Item#10877,0,0,0,0,INGREDIENT,,1050,,1,,,,0
GLBC Warehouse,Amazon,I100,BakeZymeGoClassic_44lbs_Item#23118,0,0,0,0,INGREDIENT,,1540,,1,,,,0
Sumner Machinery part,Westmark,5977531.001,Label Sensor,0,0,0,0,PART,Top Rack 5,78.5,,1,Cab Printer,,,0
Sumner Machinery part,Westmark,5977444-001,"Printhead, 4/300",0,0,0,0,PART,Top Rack 5,585,,1,Cab Printer,,,0
Manteca Warehouse,Uline,S-10485W,Aprons 100pk,0,0,0,0,SUPPLIES,,20,,1,,,,0
Manteca Warehouse,Uline,S-7412,Industrial Thermal Transfer Labels ,0,0,0,0,SUPPLIES,,39,,1,,,,0
Sumner Machinery part,Bestpack,2807007,"HANDLE, ADJ 4020-80-M10-20",0,0,0,0,PART,0,16.49,,1,BestPack machine,,,0
Sumner Machinery part,Bestpack,055018RF,"BRACKET, BAR STOPPER",0,0,0,0,PART,0,24.89,,1,BestPack machine,,,0
Sumner Machinery part,Bestpack,CV751000,"BRACKET, STOPPER MOUNT",0,0,0,0,PART,0,52.69,,1,BestPack machine,,,0
Sumner Machinery part,Bestpack,12B00373A,"ROD, BOX STOPPER",1,0,0,0,PART,103,8.99,,1,BestPack machine,,,8.99
Sumner Machinery part,Bestpack,055018RU,"WHEEL, CARTON STOPPER M30X10X2",1,0,0,0,PART,103,7.99,,1,BestPack machine,,,7.99
Sumner Machinery part,Bestpack,CV752000,"BLOCK, NYLON STOPPER",0,0,0,0,PART,0,50.59,,1,BestPack machine,,,0
Sumner Machinery part,Bestpack,2706001,"RING, RETAINING M10",0,0,0,0,PART,0,0.49,,1,BestPack machine,,,0
Sumner Machinery part,Bestpack,P310005,"Cup, Suction 3""",12,0,0,0,PART,131,48.09,,1,BestPack machine,,,577.08
Sumner Vault,BAKE MARK,I079,BrownRiceFlour_BakeMark_50lb/bg_50pp Item#12819,58,0,0,0,INGREDIENT,,42.95,,1,,,,2491.1
Sumner Vault,BAKE MARK,I080,WhiteRiceFlour_BakeMark_50lb/bg_50pp Item#12369,38,0,0,0,INGREDIENT,,39.84,,1,,,,1513.92
Sumner Vault,CHEF'STORE,P105,WhiteRoundCakePads_ChefStore_100PC/CS Item#2243719,1,0,0,0,PACKAGING,,16.25,,1,,,,16.25
Sumner Vault,GREAT LITTLE BOX COMPANY,P042,BubbleWrap_17.25x8.75_1028/bundle,0,0,0,0,PACKAGING,,156.3,,1,,,,0
Transit,Antonina's Bakery,LIPOPANENZYMEMIX,Lipopan Enzyme Dry Mix,0,0,0,0,INGREDIENT,,1.73,,1,,,,0
Manteca Warehouse,Antonina's Bakery,LIPOPANENZYMEMIX,Lipopan Enzyme Dry Mix,90,0,0,0,INGREDIENT,,1.73,,1,,,,155.7
Transit,INTERNATIONAL FOOD PRODUCTS,I054,SunflowerLecithin_ NavadaImports_44lb/cs Item#203018,0,0,0,0,INGREDIENT,,687.8,,1,,,,0
Sumner Vault,Amazon,P106,BallBearings_10pc,0,0,0,0,SUPPLIES,,16.99,,1,,,,0
Sumner Vault,Amazon,P107,WhiteCakePads_Amazon_6in 100pc/pk,14,0,0,0,PACKAGING,,27.99,,1,,,,391.86
Sumner Vault,Amazon,P093,Consistometer,0,0,0,0,SUPPLIES,,275,,1,,,,0
Sumner Vault,Amazon,P108,BankerBoxes_Amazon_30pc/cs,0,0,0,0,SUPPLIES,,64.99,,1,,,,0
Manteca Bakery,BAYCO,5125,Brown Sugar,0,0,0,0,INGREDIENT,,39.9,,1,,,,0
Manteca Dry Mix,BAYCO,1061,All Purpose Flour,0,0,0,0,INGREDIENT,,20.6,,1,,,,0
Manteca Dry Mix,BAYCO,5126,Granulated Sugar,0,0,0,0,INGREDIENT,,38.55,,1,,,,0
Manteca Dry Mix,BAYCO,M 260518,Vital Wheat Gluten/ 50lb Bag,0,0,0,0,INGREDIENT,,108,,1,,,,0
Manteca Dry Mix,BAYCO,M BYCOSALT50,Salt Morton Pure Sun,0,0,0,0,INGREDIENT,,17.9,,1,,,,0
Manteca Dry Mix,INTERNATIONAL FOOD PRODUCTS,I054,SunflowerLecithin_ NavadaImports_44lb/cs Item#203018,0,0,0,0,INGREDIENT,,687.8,,1,,,,0
Sumner Vault,Amazon,P109,EAIOilSeal 38x58x10mm,0,0,0,0,SUPPLIES,,10.65,,1,,,,0
Sumner Machinery part,Hinds-Bock,9172211,Conn F 4-Pin Euro DC 4M,3,0,0,0,PART,59,56,,1,Hinds-Bock Depositor,,,168
Sumner Machinery part,Hinds-Bock,9190977,"Pin Clevis 1/2""L SS",3,0,0,0,PART,60,11,,1,Hinds-Bock Depositor,,,33
Sumner Machinery part,Hinds-Bock,9190637,Pin Cotter Hairpin,6,0,0,0,PART,61,1.6,,1,Hinds-Bock Depositor,,,9.6
Sumner Machinery part,Hinds-Bock,9174473,Encoder ETH Motion,1,0,0,0,PART,Top Rack,2401,,1,Hinds-Bock Depositor,,,2401
Sumner Vault,UNIVAR SOLUTIONS,I081,Lipopan_44.092lbs/box Item#16180654,1,0,0,0,INGREDIENT,,11945.12,,1,,,,11945.12
Sumner Vault,Amazon,P110,Hygiena_UltraSnap_ 100pc/pk,0,0,0,0,SUPPLIES,,247.99,,1,,,,0
Sumner Vault,Uline,P111,UlineTrashBags_55gal,9,0,0,0,SUPPLIES,,49,,1,,,,441
Sumner Vault,Uline,P112,MagneticTapeStrips Item#S-20009,0,0,0,0,SUPPLIES,,59,,1,,,,0
Sumner Vault,Uline,P113,BubbleWrap_16x275 Item#S-8278P,18,0,0,0,PACKAGING,,42,,1,,,,756
Manteca Bakery,BAYCO,1061,All Purpose Flour,0,0,0,0,INGREDIENT,,19.9,,1,,,,0
